0,coef
hsa04330,-3.9380953e-07
hsa04340,0.004589839
hsa04350,0.0
hsa04360,-0.018691346
hsa04370,-0.01177271
hsa04371,-0.0068758237
hsa04380,0.02156145
hsa04390,0.0
hsa04392,0.0
hsa04510,0.063346535
hsa04512,0.061728813
hsa04514,0.0
hsa04520,0.0
hsa04530,0.41598672
hsa04540,0.019443996
hsa04550,0.0
hsa04610,0.03664682
hsa04611,-0.00242803
hsa04612,0.0
hsa04613,-0.0078067854
hsa04614,0.00016239777
hsa04620,0.0
hsa04621,0.022810483
hsa04622,2.8828294e-05
hsa04623,-0.0012488243
hsa04625,-0.04428552
hsa04630,0.0
hsa04640,0.0
hsa04650,0.0083895745
hsa04657,0.0
hsa04658,-0.10016168
hsa04659,0.0024891593
hsa04660,-0.059985302
hsa04662,-0.06749179
hsa04664,0.006472827
hsa04666,0.16517335
hsa04668,0.0
hsa04670,0.011777524
hsa04672,0.00036345003
hsa04710,0.0048781764
hsa04713,-0.00405826
hsa04714,0.12479825
hsa04720,-0.062588684
hsa04721,0.07689231
hsa04722,0.07075989
hsa04723,0.036440667
hsa04724,0.0096211545
hsa04725,0.035799418
hsa04726,0.042894337
hsa04727,-0.011804603
hsa04728,0.010151012
hsa04730,0.0012608882
hsa04740,0.00023072532
hsa04742,0.0049490514
hsa04744,-0.00063025986
hsa04750,0.003352864
hsa04810,0.05105035
hsa04910,0.13204831
hsa04911,-0.0020768612
hsa04912,-0.010562046
hsa04913,-0.028716106
hsa04914,0.004762119
hsa04915,-0.007854315
hsa04916,0.08407142
hsa04917,0.0021579878
hsa04918,0.004758358
hsa04919,0.07505513
hsa04920,0.0050667548
hsa04921,0.023727909
hsa04922,0.0059923586
hsa04923,0.0927349
hsa04924,-0.115469605
hsa04925,0.0015698501
hsa04926,0.005763747
hsa04927,-4.42206e-05
hsa04928,0.0
hsa04929,-0.0023017118
hsa04930,0.00011883213
hsa04931,0.009664566
hsa04932,0.0025678622
hsa04933,0.009373661
hsa04934,0.07993148
hsa04935,0.0
hsa04936,-0.0010151151
hsa04940,-2.5381643e-05
hsa04950,0.0
hsa04960,0.025676817
hsa04961,-0.012921894
hsa04962,0.00021896645
hsa04964,0.011051623
hsa04966,0.0008781945
hsa04970,-0.030317483
hsa04971,-0.001394562
hsa04972,0.01539896
hsa04973,-0.034046117
hsa04974,0.14755976
hsa04975,0.0013062943
hsa04976,0.0026804805
hsa04977,-8.435629e-05
hsa04978,0.033455487
hsa04979,0.026198596
hsa05010,0.01911199
hsa05012,0.0001487183
hsa05014,0.42639932
hsa05016,0.29262924
hsa05017,0.14169097
hsa05020,0.034259904
hsa05022,0.39474744
hsa05030,0.00019232328
hsa05031,0.039173253
hsa05032,-0.014216154
hsa05033,0.0066973153
hsa05034,0.0004378432
hsa05100,0.0
hsa05110,0.0018798377
hsa05120,0.0036866278
hsa05130,0.014160085
hsa05131,0.5033512
hsa05132,0.012647551
hsa05133,-0.016594391
hsa05134,0.00053087337
hsa05135,-0.07642742
hsa05140,-0.0037217003
hsa05142,0.0023867988
hsa05143,-0.0010996254
hsa05144,-0.0003509675
hsa05145,-0.001380673
hsa05146,-0.016604656
hsa05150,1.8757362e-06
hsa05152,0.003844778
hsa05160,0.01926631
hsa05161,0.20968765
hsa05162,0.20449293
