,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
PLA2G4B,0.016298799,22.0,0.016298799,0.44863027,-2.5949879
PLA2G4A,0.00090457284,22.0,0.00090457284,0.00046337274,-2.7774234
PLA2G4F,0.0002737753,22.0,0.0002737753,-0.017900823,-2.784899
PLA2G4E,-0.00920534,22.0,-0.00920534,-0.29386312,-2.8972354
PLA2G4D,-0.00037825867,22.0,-0.00037825867,-0.03688327,-2.7926261
CRAT,0.0,1.0,0.0,-0.02587115,0.07780718
OR8H1,3.086494e-07,1.0,3.086494e-07,-0.025862165,0.07781084
OR8H2,5.9234736e-08,1.0,5.9234736e-08,-0.025869425,0.07780788
OR8H3,4.5807946e-07,1.0,4.5807946e-07,-0.025857814,0.07781261
LRWD1,0.0,0.0,0.0,-0.02587115,0.21428101
MBD5,0.0,0.0,0.0,-0.02587115,0.21428101
MBD4,0.0,1.0,0.0,-0.02587115,0.07780718
CMTM8,0.0,0.0,0.0,-0.02587115,0.21428101
MBD6,0.0,0.0,0.0,-0.02587115,0.21428101
MIR133B,0.0,1.0,0.0,-0.02587115,0.07780718
MBD3,0.0,0.0,0.0,-0.02587115,0.21428101
MBD2,0.0,0.0,0.0,-0.02587115,0.21428101
CMTM2,0.0,0.0,0.0,-0.02587115,0.21428101
CMTM3,0.0,0.0,0.0,-0.02587115,0.21428101
CMTM1,0.0,0.0,0.0,-0.02587115,0.21428101
CMTM6,0.0,0.0,0.0,-0.02587115,0.21428101
CMTM7,0.0,0.0,0.0,-0.02587115,0.21428101
CMTM4,0.0,0.0,0.0,-0.02587115,0.21428101
CMTM5,0.0,0.0,0.0,-0.02587115,0.21428101
COL11A1,0.0023579258,1.0,0.0023579258,0.042774342,0.10575078
COL11A2,-4.8610134e-05,1.0,-4.8610134e-05,-0.02728632,0.07723111
CYP3A43,-0.00033240594,1.0,-0.00033240594,-0.035548374,0.07386787
REXO1,0.0,1.0,0.0,-0.02587115,0.07780718
REXO2,0.0,1.0,0.0,-0.02587115,0.07780718
REXO4,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A19,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A18,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A17,0.0,1.0,0.0,-0.02587115,0.07780718
SLC25A16,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A15,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A14,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A13,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A12,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A11,0.0,0.0,0.0,-0.02587115,0.21428101
SLC25A10,0.0008272192,1.0,0.0008272192,-0.001788597,0.08761049
TUBA3C,0.017191954,12.0,0.017191954,0.47463238,-1.2196645
TUBA3E,0.18573484,12.0,0.18573484,5.3813643,0.77772367
TUBA3D,-0.0126666045,12.0,-0.0126666045,-0.39462972,-1.573516
CCDC14,0.0,0.0,0.0,-0.02587115,0.21428101
CCDC15,0.0,0.0,0.0,-0.02587115,0.21428101
CCDC17,0.0,0.0,0.0,-0.02587115,0.21428101
NDUFA10,-1.4994435e-05,12.0,-1.4994435e-05,-0.026307678,-1.4235826
NDUFA11,0.0028966346,12.0,0.0028966346,0.058457594,-1.3890772
NDUFA12,0.00021804092,12.0,0.00021804092,-0.019523399,-1.420821
NDUFA13,-0.0033981723,12.0,-0.0033981723,-0.12480099,-1.4636765
CCDC18,0.0,0.0,0.0,-0.02587115,0.21428101
ALDH1L2,-3.6863085e-07,1.0,-3.6863085e-07,-0.025881883,0.077802815
ALDH1L1,6.2231825e-06,1.0,6.2231825e-06,-0.025689978,0.077880934
ZNF280D,0.0,0.0,0.0,-0.02587115,0.21428101
ZNF280C,0.0,0.0,0.0,-0.02587115,0.21428101
ZNF280B,0.0,0.0,0.0,-0.02587115,0.21428101
ZNF280A,0.0,0.0,0.0,-0.02587115,0.21428101
VIM,-0.024783142,2.0,-0.024783142,-0.7473744,-0.35236967
GNG7,0.031478364,19.0,0.031478364,0.8905478,-2.0056744
GNG4,0.002355438,18.0,0.002355438,0.04270192,-2.214334
GNG5,0.01359307,18.0,0.01359307,0.3698593,-2.081158
GNG2,-0.0016111559,18.0,-0.0016111559,-0.07277619,-2.2613418
GNG3,-0.2078711,18.0,-0.2078711,-6.0775523,-4.7057114
VIT,0.0,0.0,0.0,-0.02587115,0.21428101
GNG8,0.009647294,18.0,0.009647294,0.25498727,-2.1279187
STAR,-0.010267336,5.0,-0.010267336,-0.3247806,-0.58976555
FUS,-0.020178633,5.0,-0.020178633,-0.6133249,-0.70722353
UGT3A2,0.0,0.0,0.0,-0.02587115,0.21428101
UGT3A1,0.0,0.0,0.0,-0.02587115,0.21428101
FUZ,0.0,0.0,0.0,-0.02587115,0.21428101
TMEM88B,0.0,0.0,0.0,-0.02587115,0.21428101
STAC,0.0,0.0,0.0,-0.02587115,0.21428101
COX6B1,-0.014566454,12.0,-0.014566454,-0.4499394,-1.596031
COX6B2,-0.00022707676,12.0,-0.00022707676,-0.03248196,-1.426096
STAM,4.332691e-06,2.0,4.332691e-06,-0.025745014,-0.0586153
TMEM51-AS1,0.0,0.0,0.0,-0.02587115,0.21428101
ARIH1,0.0,0.0,0.0,-0.02587115,0.21428101
CLDN8,3.5202484e-05,5.0,3.5202484e-05,-0.024846314,-0.46767098
CLDN9,-0.00052646187,5.0,-0.00052646187,-0.041197855,-0.47432718
FIG4,-0.006241265,3.0,-0.006241265,-0.207571,-0.2691052
RAB11B,-0.00073117536,4.0,-0.00073117536,-0.04715761,-0.3402794
CLDN1,0.00032728212,5.0,0.00032728212,-0.016343096,-0.46420953
CLDN2,0.015989294,5.0,0.015989294,0.43961978,-0.27860034
CLDN3,-0.0063950545,5.0,-0.0063950545,-0.21204822,-0.5438754
CLDN4,-1.2142517e-07,5.0,-1.2142517e-07,-0.025874685,-0.46808958
CLDN5,-0.0008938439,5.0,-0.0008938439,-0.051893327,-0.47868103
CLDN6,0.0019051796,5.0,0.0019051796,0.029593697,-0.44551003
CLDN7,-0.00030974188,5.0,-0.00030974188,-0.03488856,-0.47175887
FIGF,0.0,0.0,0.0,-0.02587115,0.21428101
RASGEF1B,0.0,0.0,0.0,-0.02587115,0.21428101
RASGEF1A,0.0,0.0,0.0,-0.02587115,0.21428101
FIGN,0.0,0.0,0.0,-0.02587115,0.21428101
TTC12,0.0,0.0,0.0,-0.02587115,0.21428101
PLEKHS1,0.0,0.0,0.0,-0.02587115,0.21428101
MAGEB2,0.0,0.0,0.0,-0.02587115,0.21428101
MAGEB3,0.0,0.0,0.0,-0.02587115,0.21428101
MAGEB1,0.0,0.0,0.0,-0.02587115,0.21428101
TRDMT1,0.0,0.0,0.0,-0.02587115,0.21428101
SMYD1,0.00021937504,1.0,0.00021937504,-0.01948456,0.08040698
MAGEB4,0.0,0.0,0.0,-0.02587115,0.21428101
SMYD3,3.2584236e-08,1.0,3.2584236e-08,-0.025870202,0.07780757
MRFAP1,0.0,0.0,0.0,-0.02587115,0.21428101
SERPIND1,1.3056947e-06,1.0,1.3056947e-06,-0.025833137,0.077822655
IRF3,0.111097924,21.0,0.111097924,3.2084854,-1.3350571
IRF2,0.0,0.0,0.0,-0.02587115,0.21428101
IRF1,-0.002405625,5.0,-0.002405625,-0.095905304,-0.49659702
IRF7,0.20105955,13.0,0.20105955,5.8275075,0.82286185
IRF6,0.0,0.0,0.0,-0.02587115,0.21428101
IRF5,0.0,1.0,0.0,-0.02587115,0.07780718
IRF4,-2.3215003e-05,1.0,-2.3215003e-05,-0.026547002,0.07753206
IRF9,0.16290295,14.0,0.16290295,4.716667,0.23419717
IRF8,-0.00012953836,1.0,-0.00012953836,-0.029642358,0.07627203
FAM78A,0.0,0.0,0.0,-0.02587115,0.21428101
FAM78B,0.0,0.0,0.0,-0.02587115,0.21428101
LY75,0.0,0.0,0.0,-0.02587115,0.21428101
SNX29,0.0,0.0,0.0,-0.02587115,0.21428101
SNX22,0.0,0.0,0.0,-0.02587115,0.21428101
CLK1,-4.0767713e-08,1.0,-4.0767713e-08,-0.025872337,0.0778067
SNX20,0.0,0.0,0.0,-0.02587115,0.21428101
CLK3,0.0,0.0,0.0,-0.02587115,0.21428101
CLK4,-5.35613e-11,1.0,-5.35613e-11,-0.025871152,0.07780718
SNX27,0.0,0.0,0.0,-0.02587115,0.21428101
SNX24,0.0,0.0,0.0,-0.02587115,0.21428101
SNX25,0.0,0.0,0.0,-0.02587115,0.21428101
RUNDC1,0.0,0.0,0.0,-0.02587115,0.21428101
ONECUT3,0.0,0.0,0.0,-0.02587115,0.21428101
ONECUT2,0.0,0.0,0.0,-0.02587115,0.21428101
ONECUT1,0.0,2.0,0.0,-0.02587115,-0.058666646
PLA2G4C,-1.0468273e-05,22.0,-1.0468273e-05,-0.02617591,-2.7882676
SGCA,0.0007418092,4.0,0.0007418092,-0.00427511,-0.3228232
PANX1,-0.008300671,1.0,-0.008300671,-0.2675258,-0.020563398
PANX2,0.0,0.0,0.0,-0.02587115,0.21428101
PANX3,0.0,0.0,0.0,-0.02587115,0.21428101
ZNF271P,0.0,0.0,0.0,-0.02587115,0.21428101
ZBTB12,0.0,0.0,0.0,-0.02587115,0.21428101
ZBTB11,0.0,0.0,0.0,-0.02587115,0.21428101
ZBTB10,0.0,0.0,0.0,-0.02587115,0.21428101
ZBTB17,1.4643801e-05,4.0,1.4643801e-05,-0.02544483,-0.33144078
ZBTB16,-0.013796107,3.0,-0.013796107,-0.42751253,-0.35863706
ZBTB14,0.0,0.0,0.0,-0.02587115,0.21428101
ZBTB18,0.0,0.0,0.0,-0.02587115,0.21428101
TEX101,0.0,0.0,0.0,-0.02587115,0.21428101
TMEM150A,0.0,0.0,0.0,-0.02587115,0.21428101
TMEM150C,0.0,0.0,0.0,-0.02587115,0.21428101
TMEM150B,0.0,0.0,0.0,-0.02587115,0.21428101
C1orf159,0.0,0.0,0.0,-0.02587115,0.21428101
C1orf158,0.0,0.0,0.0,-0.02587115,0.21428101
LINC00467,0.0,0.0,0.0,-0.02587115,0.21428101
DDX19A,0.0,2.0,0.0,-0.02587115,-0.058666646
DDX19B,0.0,2.0,0.0,-0.02587115,-0.058666646
LINC00461,0.0,0.0,0.0,-0.02587115,0.21428101
DUSP8,-5.078287e-05,1.0,-5.078287e-05,-0.027349574,0.07720535
LYSMD3,0.0,0.0,0.0,-0.02587115,0.21428101
LYSMD2,0.0,0.0,0.0,-0.02587115,0.21428101
ACVR2B,-0.00048359475,4.0,-0.00048359475,-0.039949883,-0.33734536
RRAS2,0.07349038,11.0,0.07349038,2.1136296,-0.4160025
LYSMD4,0.0,0.0,0.0,-0.02587115,0.21428101
SPATA33,0.0,0.0,0.0,-0.02587115,0.21428101
SPATA32,0.0,0.0,0.0,-0.02587115,0.21428101
TRIM68,0.0,0.0,0.0,-0.02587115,0.21428101
TRIM69,0.0,0.0,0.0,-0.02587115,0.21428101
MTOR,6.5805005e-05,48.0,1.3709376e-06,-0.025831237,-6.335683
UNG,0.0,2.0,0.0,-0.02587115,-0.058666646
TRIM60,0.0,0.0,0.0,-0.02587115,0.21428101
TRIM61,0.0,0.0,0.0,-0.02587115,0.21428101
TRIM62,0.0,0.0,0.0,-0.02587115,0.21428101
TRIM63,0.0,0.0,0.0,-0.02587115,0.21428101
TRIM64,0.0,0.0,0.0,-0.02587115,0.21428101
TRIM65,0.0,0.0,0.0,-0.02587115,0.21428101
TRIM67,0.0,0.0,0.0,-0.02587115,0.21428101
TRIT1,0.0,0.0,0.0,-0.02587115,0.21428101
OMG,0.0,0.0,0.0,-0.02587115,0.21428101
ITK,-0.0043261526,3.0,-0.0043261526,-0.15181698,-0.24640937
OMD,0.0,0.0,0.0,-0.02587115,0.21428101
OMP,0.0,0.0,0.0,-0.02587115,0.21428101
CNBD2,0.0,0.0,0.0,-0.02587115,0.21428101
C2orf66,0.0,0.0,0.0,-0.02587115,0.21428101
C2orf69,0.0,0.0,0.0,-0.02587115,0.21428101
C2orf68,0.0,0.0,0.0,-0.02587115,0.21428101
NRF1,-0.03180399,2.0,-0.03180399,-0.95177,-0.43557313
NAGPA,-0.0010320726,1.0,-0.0010320726,-0.05591753,0.06557617
LCAT,-0.0005980959,2.0,-0.0005980959,-0.043283314,-0.06575464
OR52D1,3.204743e-06,1.0,3.204743e-06,-0.025777852,0.07784516
HIP1,0.00018636155,2.0,0.00018636155,-0.02044567,-0.056458093
SNHG15,0.0,0.0,0.0,-0.02587115,0.21428101
SERTAD1,0.0,0.0,0.0,-0.02587115,0.21428101
