0,fanin,fanout,degree
C00104,1.0,1.0,2.0
C00105,1.0,1.0,2.0
C00106,3.0,1.0,4.0
C00107,1.0,1.0,2.0
C00108,1.0,1.0,2.0
C00109,2.0,1.0,3.0
C00110,1.0,1.0,2.0
C00111,10.0,1.0,11.0
C00112,1.0,1.0,2.0
C00114,5.0,1.0,6.0
C00116,7.0,1.0,8.0
C00117,5.0,1.0,6.0
C00118,9.0,1.0,10.0
C00119,5.0,1.0,6.0
C00120,3.0,1.0,4.0
C00121,2.0,1.0,3.0
C00122,12.0,1.0,13.0
C00123,7.0,1.0,8.0
C00124,3.0,1.0,4.0
C00127,5.0,1.0,6.0
C00128,1.0,1.0,2.0
C00129,2.0,1.0,3.0
C00130,2.0,1.0,3.0
C00131,1.0,1.0,2.0
C00132,1.0,1.0,2.0
C00133,2.0,1.0,3.0
C00134,5.0,1.0,6.0
C00135,7.0,1.0,8.0
C00136,5.0,1.0,6.0
C00137,5.0,1.0,6.0
C00140,2.0,1.0,3.0
C00141,1.0,1.0,2.0
C00143,1.0,1.0,2.0
C00144,5.0,1.0,6.0
C00146,3.0,1.0,4.0
C00147,1.0,1.0,2.0
C00148,7.0,1.0,8.0
C00149,9.0,1.0,10.0
C00151,2.0,1.0,3.0
C00152,4.0,1.0,5.0
C00153,2.0,1.0,3.0
C00154,7.0,1.0,8.0
C00155,3.0,1.0,4.0
C00156,2.0,1.0,3.0
C00157,6.0,1.0,7.0
C00158,5.0,1.0,6.0
C00159,6.0,1.0,7.0
C00160,1.0,1.0,2.0
C00162,16.0,1.0,17.0
C00163,4.0,1.0,5.0
C00164,3.0,1.0,4.0
C00165,75.0,1.0,76.0
C00166,2.0,1.0,3.0
C00167,3.0,1.0,4.0
C00168,1.0,1.0,2.0
C00169,4.0,1.0,5.0
C00170,1.0,1.0,2.0
C00173,2.0,1.0,3.0
C00175,1.0,1.0,2.0
C00178,1.0,1.0,2.0
C00179,1.0,1.0,2.0
C00181,3.0,1.0,4.0
C00182,1.0,1.0,2.0
C00183,6.0,1.0,7.0
C00184,1.0,1.0,2.0
C00185,2.0,1.0,3.0
C00186,8.0,1.0,9.0
C00187,14.0,1.0,15.0
C00188,6.0,1.0,7.0
C00189,2.0,1.0,3.0
C00190,1.0,1.0,2.0
C00191,4.0,1.0,5.0
C00192,1.0,1.0,2.0
C00194,1.0,1.0,2.0
C00195,9.0,1.0,10.0
C00197,7.0,1.0,8.0
C00198,1.0,1.0,2.0
C00199,3.0,1.0,4.0
C00203,1.0,1.0,2.0
C00204,2.0,1.0,3.0
C00206,1.0,1.0,2.0
C00207,1.0,1.0,2.0
C00208,4.0,1.0,5.0
C00209,2.0,1.0,3.0
C00212,12.0,1.0,13.0
C00213,1.0,1.0,2.0
C00214,1.0,1.0,2.0
C00216,3.0,1.0,4.0
C00217,1.0,1.0,2.0
C00219,20.0,1.0,21.0
C00221,2.0,1.0,3.0
C00222,4.0,1.0,5.0
C00223,2.0,1.0,3.0
C00224,2.0,1.0,3.0
C00226,1.0,1.0,2.0
C00227,2.0,1.0,3.0
C00229,3.0,1.0,4.0
C00231,4.0,1.0,5.0
C00232,4.0,1.0,5.0
C00234,2.0,1.0,3.0
C00235,2.0,1.0,3.0
C00236,2.0,1.0,3.0
C00238,45.0,1.0,46.0
C00239,1.0,1.0,2.0
C00242,1.0,1.0,2.0
C00243,3.0,1.0,4.0
C00244,2.0,1.0,3.0
C00245,5.0,1.0,6.0
C00246,3.0,1.0,4.0
C00247,1.0,1.0,2.0
C00249,4.0,1.0,5.0
C00250,2.0,1.0,3.0
C00251,2.0,1.0,3.0
C00252,1.0,1.0,2.0
C00253,2.0,1.0,3.0
C00255,3.0,1.0,4.0
C00256,1.0,1.0,2.0
C00257,1.0,1.0,2.0
C00258,3.0,1.0,4.0
C00259,4.0,1.0,5.0
C00262,1.0,1.0,2.0
C00263,2.0,1.0,3.0
C00264,1.0,1.0,2.0
C00266,4.0,1.0,5.0
C00267,5.0,1.0,6.0
C00268,1.0,1.0,2.0
C00269,2.0,1.0,3.0
C00270,1.0,1.0,2.0
C00272,2.0,1.0,3.0
C00275,3.0,1.0,4.0
C00279,2.0,1.0,3.0
C00280,5.0,1.0,6.0
C00282,2.0,1.0,3.0
C00283,2.0,1.0,3.0
C00286,1.0,1.0,2.0
C00288,11.0,1.0,12.0
C00290,3.0,1.0,4.0
C00291,2.0,1.0,3.0
C00294,2.0,1.0,3.0
C00295,1.0,1.0,2.0
C00299,2.0,1.0,3.0
C00300,1.0,1.0,2.0
C00301,1.0,1.0,2.0
C00305,4.0,1.0,5.0
C00306,1.0,1.0,2.0
C00307,2.0,1.0,3.0
C00309,1.0,1.0,2.0
C00310,1.0,1.0,2.0
C00311,4.0,1.0,5.0
C00312,1.0,1.0,2.0
C00313,1.0,1.0,2.0
C00314,1.0,1.0,2.0
C00315,5.0,1.0,6.0
C00318,3.0,1.0,4.0
C00319,4.0,1.0,5.0
C00320,2.0,1.0,3.0
C00322,2.0,1.0,3.0
C00325,2.0,1.0,3.0
C00327,1.0,1.0,2.0
C00328,2.0,1.0,3.0
C00329,1.0,1.0,2.0
C00330,2.0,1.0,3.0
C00331,1.0,1.0,2.0
C00332,7.0,1.0,8.0
C00333,4.0,1.0,5.0
C00334,14.0,1.0,15.0
C00337,1.0,1.0,2.0
C00338,13.0,1.0,14.0
C00340,1.0,1.0,2.0
C00341,2.0,1.0,3.0
C00344,1.0,1.0,2.0
C00345,1.0,1.0,2.0
C00346,4.0,1.0,5.0
C00350,7.0,1.0,8.0
C00352,3.0,1.0,4.0
C00353,2.0,1.0,3.0
C00354,3.0,1.0,4.0
C00355,7.0,1.0,8.0
C00356,3.0,1.0,4.0
C00357,1.0,1.0,2.0
C00360,1.0,1.0,2.0
C00361,1.0,1.0,2.0
C00362,1.0,1.0,2.0
C00363,1.0,1.0,2.0
C00364,1.0,1.0,2.0
C00365,1.0,1.0,2.0
C00366,2.0,1.0,3.0
C00369,5.0,1.0,6.0
C00372,1.0,1.0,2.0
C00374,2.0,1.0,3.0
C00376,3.0,1.0,4.0
C00378,4.0,1.0,5.0
C00379,2.0,1.0,3.0
C00380,1.0,1.0,2.0
C00381,1.0,1.0,2.0
C00383,3.0,1.0,4.0
C00385,2.0,1.0,3.0
C00386,2.0,1.0,3.0
C00387,2.0,1.0,3.0
C00388,8.0,1.0,9.0
C00389,1.0,1.0,2.0
C00390,2.0,1.0,3.0
C00392,2.0,1.0,3.0
C00394,2.0,1.0,3.0
C00398,2.0,1.0,3.0
C00399,1.0,1.0,2.0
C00400,1.0,1.0,2.0
C00401,1.0,1.0,2.0
C00402,1.0,1.0,2.0
C00406,1.0,1.0,2.0
C00407,6.0,1.0,7.0
C00408,1.0,1.0,2.0
C00409,2.0,1.0,3.0
C00410,13.0,1.0,14.0
C00412,1.0,1.0,2.0
C00415,2.0,1.0,3.0
C00416,11.0,1.0,12.0
C00417,2.0,1.0,3.0
C00418,2.0,1.0,3.0
C00422,8.0,1.0,9.0
C00423,2.0,1.0,3.0
C00424,3.0,1.0,4.0
C00426,2.0,1.0,3.0
C00427,5.0,1.0,6.0
C00429,3.0,1.0,4.0
C00430,2.0,1.0,3.0
C00431,3.0,1.0,4.0
C00433,3.0,1.0,4.0
C00434,1.0,1.0,2.0
C00435,1.0,1.0,2.0
C00436,1.0,1.0,2.0
C00437,1.0,1.0,2.0
C00438,1.0,1.0,2.0
C00439,1.0,1.0,2.0
C00440,1.0,1.0,2.0
C00441,2.0,1.0,3.0
C00445,1.0,1.0,2.0
C00446,2.0,1.0,3.0
C00448,2.0,1.0,3.0
C00449,1.0,1.0,2.0
C00450,1.0,1.0,2.0
C00455,1.0,1.0,2.0
C00458,1.0,1.0,2.0
C00459,1.0,1.0,2.0
C00460,1.0,1.0,2.0
C00461,1.0,1.0,2.0
C00463,2.0,1.0,3.0
C00464,2.0,1.0,3.0
C00468,3.0,1.0,4.0
C00469,6.0,1.0,7.0
C00470,2.0,1.0,3.0
C00471,1.0,1.0,2.0
C00472,1.0,1.0,2.0
C00473,2.0,1.0,3.0
C00474,2.0,1.0,3.0
C00475,2.0,1.0,3.0
C00476,1.0,1.0,2.0
C00479,1.0,1.0,2.0
C00483,3.0,1.0,4.0
C00486,2.0,1.0,3.0
C00487,2.0,1.0,3.0
C00488,1.0,1.0,2.0
C00489,2.0,1.0,3.0
C00491,4.0,1.0,5.0
C00492,2.0,1.0,3.0
C00497,1.0,1.0,2.0
C00498,2.0,1.0,3.0
C00499,1.0,1.0,2.0
C00500,1.0,1.0,2.0
C00501,2.0,1.0,3.0
C00502,1.0,1.0,2.0
C00503,1.0,1.0,2.0
C00504,4.0,1.0,5.0
C00506,3.0,1.0,4.0
C00507,1.0,1.0,2.0
C00508,1.0,1.0,2.0
C00510,1.0,1.0,2.0
C00512,1.0,1.0,2.0
C00513,1.0,1.0,2.0
C00514,1.0,1.0,2.0
C00515,1.0,1.0,2.0
C00517,1.0,1.0,2.0
C00518,2.0,1.0,3.0
C00519,1.0,1.0,2.0
C00522,1.0,1.0,2.0
C00523,1.0,1.0,2.0
C00524,2.0,1.0,3.0
C00526,2.0,1.0,3.0
C00527,3.0,1.0,4.0
C00530,2.0,1.0,3.0
C00532,1.0,1.0,2.0
C00533,36.0,1.0,37.0
C00534,2.0,1.0,3.0
C00535,5.0,1.0,6.0
C00536,1.0,1.0,2.0
C00541,1.0,1.0,2.0
C00544,2.0,1.0,3.0
C00545,1.0,1.0,2.0
C00546,3.0,1.0,4.0
C00547,13.0,1.0,14.0
C00550,3.0,1.0,4.0
C00551,1.0,1.0,2.0
C00552,1.0,1.0,2.0
C00555,2.0,1.0,3.0
C00558,3.0,1.0,4.0
C00559,2.0,1.0,3.0
C00568,1.0,1.0,2.0
C00570,1.0,1.0,2.0
C00573,2.0,1.0,3.0
C00575,71.0,1.0,72.0
C00577,4.0,1.0,5.0
C00580,1.0,1.0,2.0
C00581,1.0,1.0,2.0
C00582,1.0,1.0,2.0
C00583,1.0,1.0,2.0
C00584,17.0,1.0,18.0
C00588,2.0,1.0,3.0
C00593,1.0,1.0,2.0
C00596,1.0,1.0,2.0
C00601,1.0,1.0,2.0
C00603,1.0,1.0,2.0
C00605,1.0,1.0,2.0
C00606,2.0,1.0,3.0
C00607,3.0,1.0,4.0
C00617,2.0,1.0,3.0
C00618,2.0,1.0,3.0
C00620,2.0,1.0,3.0
C00621,1.0,1.0,2.0
C00623,1.0,1.0,2.0
C00624,2.0,1.0,3.0
C00627,1.0,1.0,2.0
C00628,1.0,1.0,2.0
C00631,6.0,1.0,7.0
C00632,1.0,1.0,2.0
C00634,2.0,1.0,3.0
C00636,2.0,1.0,3.0
C00637,1.0,1.0,2.0
C00638,4.0,1.0,5.0
C00639,7.0,1.0,8.0
C00640,1.0,1.0,2.0
C00641,5.0,1.0,6.0
C00642,2.0,1.0,3.0
C00643,2.0,1.0,3.0
C00644,1.0,1.0,2.0
C00645,1.0,1.0,2.0
C00647,2.0,1.0,3.0
C00652,1.0,1.0,2.0
C00655,1.0,1.0,2.0
C00658,1.0,1.0,2.0
C00663,1.0,1.0,2.0
C00664,1.0,1.0,2.0
C00665,4.0,1.0,5.0
C00666,1.0,1.0,2.0
C00668,6.0,1.0,7.0
C00669,2.0,1.0,3.0
C00670,3.0,1.0,4.0
C00672,2.0,1.0,3.0
C00673,1.0,1.0,2.0
C00674,1.0,1.0,2.0
C00679,1.0,1.0,2.0
C00680,1.0,1.0,2.0
C00681,10.0,1.0,11.0
C00683,2.0,1.0,3.0
C00684,1.0,1.0,2.0
C00685,1.0,1.0,2.0
C00689,2.0,1.0,3.0
C00691,1.0,1.0,2.0
C00692,1.0,1.0,2.0
C00693,1.0,1.0,2.0
C00695,2.0,1.0,3.0
C00696,6.0,1.0,7.0
C00697,1.0,1.0,2.0
C00698,17.0,1.0,18.0
C00700,1.0,1.0,2.0
C00704,16.0,1.0,17.0
C00705,1.0,1.0,2.0
C00707,1.0,1.0,2.0
C00708,1.0,1.0,2.0
C00712,2.0,1.0,3.0
C00714,3.0,1.0,4.0
C00718,1.0,1.0,2.0
C00719,1.0,1.0,2.0
C00721,1.0,1.0,2.0
C00726,1.0,1.0,2.0
C00734,1.0,1.0,2.0
C00735,8.0,1.0,9.0
C00739,2.0,1.0,3.0
C00740,2.0,1.0,3.0
C00741,1.0,1.0,2.0
C00745,4.0,1.0,5.0
C00748,1.0,1.0,2.0
C00750,5.0,1.0,6.0
C00751,1.0,1.0,2.0
C00752,1.0,1.0,2.0
C00757,1.0,1.0,2.0
C00760,2.0,1.0,3.0
C00762,4.0,1.0,5.0
C00763,2.0,1.0,3.0
C00777,7.0,1.0,8.0
C00778,1.0,1.0,2.0
C00780,10.0,1.0,11.0
C00785,1.0,1.0,2.0
C00788,7.0,1.0,8.0
C00789,2.0,1.0,3.0
C00791,1.0,1.0,2.0
C00792,1.0,1.0,2.0
C00793,2.0,1.0,3.0
C00794,4.0,1.0,5.0
C00795,1.0,1.0,2.0
C00798,1.0,1.0,2.0
C00800,2.0,1.0,3.0
C00802,1.0,1.0,2.0
C00804,2.0,1.0,3.0
C00805,1.0,1.0,2.0
C00808,1.0,1.0,2.0
C00809,1.0,1.0,2.0
C00810,1.0,1.0,2.0
C00811,2.0,1.0,3.0
C00813,1.0,1.0,2.0
C00817,1.0,1.0,2.0
C00818,1.0,1.0,2.0
C00819,1.0,1.0,2.0
C00820,1.0,1.0,2.0
C00822,1.0,1.0,2.0
C00823,1.0,1.0,2.0
C00827,1.0,1.0,2.0
C00828,2.0,1.0,3.0
C00829,1.0,1.0,2.0
C00831,1.0,1.0,2.0
C00835,1.0,1.0,2.0
C00836,2.0,1.0,3.0
C00847,1.0,1.0,2.0
C00853,1.0,1.0,2.0
C00855,2.0,1.0,3.0
C00857,1.0,1.0,2.0
C00860,1.0,1.0,2.0
C00861,1.0,1.0,2.0
C00864,3.0,1.0,4.0
C00865,5.0,1.0,6.0
C00868,1.0,1.0,2.0
C00873,4.0,1.0,5.0
C00877,5.0,1.0,6.0
C00878,1.0,1.0,2.0
C00879,1.0,1.0,2.0
C00880,1.0,1.0,2.0
C00881,2.0,1.0,3.0
C00882,1.0,1.0,2.0
C00884,1.0,1.0,2.0
C00885,1.0,1.0,2.0
C00886,1.0,1.0,2.0
C00887,1.0,1.0,2.0
C00888,1.0,1.0,2.0
C00894,2.0,1.0,3.0
C00898,1.0,1.0,2.0
C00899,1.0,1.0,2.0
C00903,1.0,1.0,2.0
C00905,1.0,1.0,2.0
C00909,2.0,1.0,3.0
C00919,1.0,1.0,2.0
C00921,1.0,1.0,2.0
C00922,1.0,1.0,2.0
C00925,5.0,1.0,6.0
C00931,1.0,1.0,2.0
C00935,1.0,1.0,2.0
C00937,1.0,1.0,2.0
C00942,16.0,1.0,17.0
C00951,12.0,1.0,13.0
C00954,1.0,1.0,2.0
C00955,1.0,1.0,2.0
C00956,1.0,1.0,2.0
C00957,1.0,1.0,2.0
C00958,1.0,1.0,2.0
C00963,1.0,1.0,2.0
C00965,2.0,1.0,3.0
C00966,1.0,1.0,2.0
C00969,1.0,1.0,2.0
C00971,1.0,1.0,2.0
C00973,2.0,1.0,3.0
C00975,1.0,1.0,2.0
C00976,2.0,1.0,3.0
C00978,1.0,1.0,2.0
C00979,3.0,1.0,4.0
C00984,2.0,1.0,3.0
C00986,2.0,1.0,3.0
C00988,1.0,1.0,2.0
C00989,1.0,1.0,2.0
C00990,1.0,1.0,2.0
C00992,1.0,1.0,2.0
C00993,1.0,1.0,2.0
C00996,1.0,1.0,2.0
C00999,1.0,1.0,2.0
C01005,2.0,1.0,3.0
C01007,1.0,1.0,2.0
C01010,1.0,1.0,2.0
C01013,3.0,1.0,4.0
C01019,3.0,1.0,4.0
C01020,1.0,1.0,2.0
C01024,1.0,1.0,2.0
C01035,1.0,1.0,2.0
C01036,1.0,1.0,2.0
C01037,1.0,1.0,2.0
C01040,1.0,1.0,2.0
C01041,1.0,1.0,2.0
C01043,1.0,1.0,2.0
C01044,1.0,1.0,2.0
C01045,1.0,1.0,2.0
C01050,1.0,1.0,2.0
C01051,1.0,1.0,2.0
C01053,1.0,1.0,2.0
C01054,1.0,1.0,2.0
C01056,1.0,1.0,2.0
C01059,1.0,1.0,2.0
C01060,2.0,1.0,3.0
C01061,1.0,1.0,2.0
C01063,1.0,1.0,2.0
C01065,1.0,1.0,2.0
C01068,2.0,1.0,3.0
C01073,1.0,1.0,2.0
C01074,1.0,1.0,2.0
C01077,1.0,1.0,2.0
C01079,1.0,1.0,2.0
C01081,1.0,1.0,2.0
C01083,2.0,1.0,3.0
C01087,1.0,1.0,2.0
C01088,1.0,1.0,2.0
C01089,2.0,1.0,3.0
C01092,1.0,1.0,2.0
C01094,1.0,1.0,2.0
C01096,1.0,1.0,2.0
C01097,1.0,1.0,2.0
C01099,1.0,1.0,2.0
C01100,1.0,1.0,2.0
C01101,2.0,1.0,3.0
C01103,1.0,1.0,2.0
C01107,1.0,1.0,2.0
C01110,2.0,1.0,3.0
C01111,1.0,1.0,2.0
C01113,1.0,1.0,2.0
C01114,1.0,1.0,2.0
C01115,1.0,1.0,2.0
C01118,2.0,1.0,3.0
C01120,2.0,1.0,3.0
C01124,2.0,1.0,3.0
C01126,1.0,1.0,2.0
C01127,1.0,1.0,2.0
C01131,1.0,1.0,2.0
C01132,2.0,1.0,3.0
C01134,1.0,1.0,2.0
C01137,2.0,1.0,3.0
C01142,1.0,1.0,2.0
C01143,1.0,1.0,2.0
C01144,4.0,1.0,5.0
C01146,2.0,1.0,3.0
C01149,1.0,1.0,2.0
C01151,2.0,1.0,3.0
C01152,1.0,1.0,2.0
C01153,1.0,1.0,2.0
C01157,3.0,1.0,4.0
C01159,1.0,1.0,2.0
C01161,5.0,1.0,6.0
C01164,1.0,1.0,2.0
C01165,1.0,1.0,2.0
C01168,1.0,1.0,2.0
C01170,1.0,1.0,2.0
C01172,4.0,1.0,5.0
C01176,4.0,1.0,5.0
C01177,3.0,1.0,4.0
C01179,2.0,1.0,3.0
C01180,2.0,1.0,3.0
C01181,2.0,1.0,3.0
C01182,2.0,1.0,3.0
C01185,1.0,1.0,2.0
C01186,1.0,1.0,2.0
C01189,1.0,1.0,2.0
C01190,1.0,1.0,2.0
C01194,8.0,1.0,9.0
C01198,1.0,1.0,2.0
C01203,2.0,1.0,3.0
C01204,2.0,1.0,3.0
C01205,1.0,1.0,2.0
C01209,2.0,1.0,3.0
C01210,1.0,1.0,2.0
C01211,1.0,1.0,2.0
C01213,2.0,1.0,3.0
C01215,1.0,1.0,2.0
C01216,1.0,1.0,2.0
C01217,1.0,1.0,2.0
C01218,1.0,1.0,2.0
C01219,1.0,1.0,2.0
C01220,2.0,1.0,3.0
C01222,2.0,1.0,3.0
C01226,1.0,1.0,2.0
C01227,4.0,1.0,5.0
C01228,1.0,1.0,2.0
C01230,1.0,1.0,2.0
C01231,1.0,1.0,2.0
C01233,2.0,1.0,3.0
C01234,1.0,1.0,2.0
C01235,1.0,1.0,2.0
C01236,1.0,1.0,2.0
C01241,1.0,1.0,2.0
C01243,2.0,1.0,3.0
C01245,81.0,1.0,82.0
C01246,1.0,1.0,2.0
C01249,1.0,1.0,2.0
C01250,2.0,1.0,3.0
C01251,1.0,1.0,2.0
C01252,1.0,1.0,2.0
C01259,1.0,1.0,2.0
C01260,1.0,1.0,2.0
C01261,1.0,1.0,2.0
C01262,2.0,1.0,3.0
C01264,1.0,1.0,2.0
C01267,1.0,1.0,2.0
C01268,1.0,1.0,2.0
C01270,1.0,1.0,2.0
C01271,1.0,1.0,2.0
C01272,2.0,1.0,3.0
C01277,3.0,1.0,4.0
C01279,2.0,1.0,3.0
C01284,2.0,1.0,3.0
C01286,1.0,1.0,2.0
C01290,1.0,1.0,2.0
C01297,1.0,1.0,2.0
C01300,1.0,1.0,2.0
C01301,1.0,1.0,2.0
C01304,2.0,1.0,3.0
C01312,6.0,1.0,7.0
C01319,1.0,1.0,2.0
C01322,1.0,1.0,2.0
C01327,2.0,1.0,3.0
C01330,43.0,1.0,44.0
C01342,1.0,1.0,2.0
C01344,1.0,1.0,2.0
C01345,1.0,1.0,2.0
C01346,1.0,1.0,2.0
C01352,2.0,1.0,3.0
C01353,6.0,1.0,7.0
C01355,2.0,1.0,3.0
C01358,1.0,1.0,2.0
C01367,1.0,1.0,2.0
C01368,1.0,1.0,2.0
C01371,1.0,1.0,2.0
C01380,1.0,1.0,2.0
C01382,1.0,1.0,2.0
C01384,3.0,1.0,4.0
C01390,1.0,1.0,2.0
C01405,1.0,1.0,2.0
C01407,1.0,1.0,2.0
C01412,1.0,1.0,2.0
C01413,1.0,1.0,2.0
C01417,2.0,1.0,3.0
C01419,1.0,1.0,2.0
C01438,2.0,1.0,3.0
C01443,1.0,1.0,2.0
C01444,1.0,1.0,2.0
C01451,2.0,1.0,3.0
C01468,1.0,1.0,2.0
C01471,3.0,1.0,4.0
C01487,2.0,1.0,3.0
C01490,1.0,1.0,2.0
C01498,1.0,1.0,2.0
C01508,1.0,1.0,2.0
C01516,2.0,1.0,3.0
C01528,1.0,1.0,2.0
C01530,2.0,1.0,3.0
C01558,2.0,1.0,3.0
C01561,2.0,1.0,3.0
C01563,2.0,1.0,3.0
C01571,1.0,1.0,2.0
C01576,1.0,1.0,2.0
C01595,2.0,1.0,3.0
C01596,1.0,1.0,2.0
C01598,3.0,1.0,4.0
C01606,1.0,1.0,2.0
C01613,1.0,1.0,2.0
C01620,1.0,1.0,2.0
C01623,1.0,1.0,2.0
C01630,1.0,1.0,2.0
C01667,2.0,1.0,3.0
C01672,4.0,1.0,5.0
C01673,4.0,1.0,5.0
C01674,2.0,1.0,3.0
C01678,1.0,1.0,2.0
C01682,2.0,1.0,3.0
C01684,1.0,1.0,2.0
C01693,1.0,1.0,2.0
C01694,1.0,1.0,2.0
C01697,1.0,1.0,2.0
C01708,1.0,1.0,2.0
C01715,1.0,1.0,2.0
C01717,1.0,1.0,2.0
C01720,1.0,1.0,2.0
C01721,1.0,1.0,2.0
C01724,1.0,1.0,2.0
C01725,1.0,1.0,2.0
C01726,1.0,1.0,2.0
C01727,1.0,1.0,2.0
C01732,1.0,1.0,2.0
C01746,1.0,1.0,2.0
C01747,1.0,1.0,2.0
C01753,1.0,1.0,2.0
C01762,3.0,1.0,4.0
C01768,1.0,1.0,2.0
C01769,1.0,1.0,2.0
C01772,1.0,1.0,2.0
C01780,3.0,1.0,4.0
C01782,1.0,1.0,2.0
C01788,1.0,1.0,2.0
C01789,1.0,1.0,2.0
C01794,1.0,1.0,2.0
C01801,1.0,1.0,2.0
C01802,1.0,1.0,2.0
C01817,1.0,1.0,2.0
C01825,1.0,1.0,2.0
C01829,6.0,1.0,7.0
C01832,2.0,1.0,3.0
C01834,1.0,1.0,2.0
C01835,2.0,1.0,3.0
C01844,1.0,1.0,2.0
C01845,1.0,1.0,2.0
C01847,1.0,1.0,2.0
C01850,1.0,1.0,2.0
C01861,1.0,1.0,2.0
C01879,1.0,1.0,2.0
C01885,5.0,1.0,6.0
C01894,1.0,1.0,2.0
C01898,1.0,1.0,2.0
C01902,1.0,1.0,2.0
C01904,1.0,1.0,2.0
C01909,1.0,1.0,2.0
C01921,3.0,1.0,4.0
C01929,1.0,1.0,2.0
C01931,1.0,1.0,2.0
C01934,1.0,1.0,2.0
C01935,2.0,1.0,3.0
C01937,1.0,1.0,2.0
C01943,1.0,1.0,2.0
C01944,3.0,1.0,4.0
C01946,1.0,1.0,2.0
C01953,5.0,1.0,6.0
C01959,1.0,1.0,2.0
C01962,1.0,1.0,2.0
C01987,1.0,1.0,2.0
C01989,1.0,1.0,2.0
C01990,1.0,1.0,2.0
C01996,14.0,1.0,15.0
C02002,1.0,1.0,2.0
C02041,1.0,1.0,2.0
C02047,1.0,1.0,2.0
C02049,1.0,1.0,2.0
C02050,1.0,1.0,2.0
C02051,1.0,1.0,2.0
C02059,2.0,1.0,3.0
C02067,1.0,1.0,2.0
C02075,2.0,1.0,3.0
C02084,1.0,1.0,2.0
C02090,1.0,1.0,2.0
C02091,1.0,1.0,2.0
C02094,2.0,1.0,3.0
C02110,2.0,1.0,3.0
C02112,2.0,1.0,3.0
C02123,1.0,1.0,2.0
C02133,1.0,1.0,2.0
C02135,4.0,1.0,5.0
C02137,1.0,1.0,2.0
C02139,1.0,1.0,2.0
C02140,4.0,1.0,5.0
C02141,1.0,1.0,2.0
C02147,1.0,1.0,2.0
C02160,1.0,1.0,2.0
C02161,1.0,1.0,2.0
C02163,1.0,1.0,2.0
C02165,6.0,1.0,7.0
C02166,6.0,1.0,7.0
C02167,1.0,1.0,2.0
C02170,2.0,1.0,3.0
C02172,1.0,1.0,2.0
C02188,1.0,1.0,2.0
C02189,4.0,1.0,5.0
C02191,1.0,1.0,2.0
C02198,4.0,1.0,5.0
