,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
SPPL2C,mut_important,,,,,
SPPL2C,cnv_del,,,,,
SPPL2C,cnv_amp,,,,,
SPPL2C,promoter,,,,,
SPPL2B,mut_important,,,,,
SPPL2B,cnv_del,,,,,
SPPL2B,cnv_amp,,,,,
SPPL2B,promoter,,,,,
ITGA8,mut_important,,,,,
ITGA8,cnv_del,,,,,
ITGA8,cnv_amp,,,,,
ITGA8,promoter,,,,,
ITGA9,mut_important,,,,,
ITGA9,cnv_del,,,,,
ITGA9,cnv_amp,,,,,
ITGA9,promoter,,,,,
UGCG,mut_important,,,,,
UGCG,cnv_del,,,,,
UGCG,cnv_amp,,,,,
UGCG,promoter,,,,,
MYO3B,mut_important,,,,,
MYO3B,cnv_del,,,,,
MYO3B,cnv_amp,,,,,
MYO3B,promoter,,,,,
ATP2A1,mut_important,,,,,
ATP2A1,cnv_del,,,,,
ATP2A1,cnv_amp,,,,,
ATP2A1,promoter,,,,,
ATP2A2,mut_important,,,,,
ATP2A2,cnv_del,,,,,
ATP2A2,cnv_amp,,,,,
ATP2A2,promoter,,,,,
ATP2A3,mut_important,,,,,
ATP2A3,cnv_del,,,,,
ATP2A3,cnv_amp,,,,,
ATP2A3,promoter,,,,,
ITGA1,mut_important,,,,,
ITGA1,cnv_del,,,,,
ITGA1,cnv_amp,,,,,
ITGA1,promoter,,,,,
ITGA2,mut_important,,,,,
ITGA2,cnv_del,,,,,
ITGA2,cnv_amp,,,,,
ITGA2,promoter,,,,,
ITGA3,mut_important,,,,,
ITGA3,cnv_del,,,,,
ITGA3,cnv_amp,,,,,
ITGA3,promoter,,,,,
ITGA4,mut_important,,,,,
ITGA4,cnv_del,,,,,
ITGA4,cnv_amp,,,,,
ITGA4,promoter,,,,,
ITGA5,mut_important,,,,,
ITGA5,cnv_del,,,,,
ITGA5,cnv_amp,,,,,
ITGA5,promoter,,,,,
ITGA6,mut_important,,,,,
ITGA6,cnv_del,,,,,
ITGA6,cnv_amp,,,,,
ITGA6,promoter,,,,,
ITGA7,mut_important,,,,,
ITGA7,cnv_del,,,,,
ITGA7,cnv_amp,,,,,
ITGA7,promoter,,,,,
TRHR,mut_important,,,,,
TRHR,cnv_del,,,,,
TRHR,cnv_amp,,,,,
TRHR,promoter,,,,,
DENND4A,mut_important,,,,,
DENND4A,cnv_del,,,,,
DENND4A,cnv_amp,,,,,
DENND4A,promoter,,,,,
DENND4C,mut_important,,,,,
DENND4C,cnv_del,,,,,
DENND4C,cnv_amp,,,,,
DENND4C,promoter,,,,,
ELL3,mut_important,,,,,
ELL3,cnv_del,,,,,
ELL3,cnv_amp,,,,,
ELL3,promoter,,,,,
SWAP70,mut_important,,,,,
SWAP70,cnv_del,,,,,
SWAP70,cnv_amp,,,,,
SWAP70,promoter,,,,,
RARRES1,mut_important,,,,,
RARRES1,cnv_del,,,,,
RARRES1,cnv_amp,,,,,
RARRES1,promoter,,,,,
UFSP1,mut_important,,,,,
UFSP1,cnv_del,,,,,
UFSP1,cnv_amp,,,,,
UFSP1,promoter,,,,,
