,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
C00133,-1.3424609e-05,3.0,-1.3424609e-05,-0.110427484,-0.13276343
C00134,0.0017006119,6.0,0.0017006119,-0.056026466,-0.98494774
C00135,-0.001110535,8.0,-0.001110535,-0.14524817,-1.5873293
C00136,0.0014904852,6.0,0.0014904852,-0.062695585,-0.9867684
C00137,0.0003314557,6.0,0.0003314557,-0.09948149,-0.9968109
C00140,0.0008713922,3.0,0.0008713922,-0.08234469,-0.12509684
C00141,2.607048e-05,2.0,2.607048e-05,-0.10917397,0.15659069
C00143,3.3562555e-06,2.0,3.3562555e-06,-0.10989489,0.15639389
C00144,0.03712807,6.0,0.03712807,1.0683894,-0.6779827
C00146,-0.0048688683,4.0,-0.0048688683,-0.26453218,-0.46384588
C00147,-0.002111803,2.0,-0.002111803,-0.17702696,0.13806686
C00148,0.0015220525,8.0,0.0015220525,-0.061693683,-1.5645189
C00149,0.41697848,10.0,0.41697848,13.124288,1.4572247
C00151,0.0005721059,3.0,0.0005721059,-0.091843605,-0.12769005
C00152,-0.0031587789,5.0,-0.0031587789,-0.21025646,-0.7380406
C00153,0.000112273214,3.0,0.000112273214,-0.10643802,-0.13167432
C00154,0.0019754628,8.0,0.0019754628,-0.0473031,-1.5605903
C00155,0.016054286,4.0,0.016054286,0.39953822,-0.28255495
C00156,0.00012881676,3.0,0.00012881676,-0.10591295,-0.13153097
C00157,0.030890776,7.0,0.030890776,0.8704268,-1.0210384
C00158,-0.0043979315,6.0,-0.0043979315,-0.24958535,-1.0377892
C00159,8.893012e-05,7.0,8.893012e-05,-0.1071789,-1.2879243
C00160,9.161067e-05,2.0,9.161067e-05,-0.10709382,0.15715857
C00162,0.006631434,17.0,0.006631434,0.10047064,-4.1213555
C00163,0.0012436091,5.0,0.0012436091,-0.07053107,-0.6998956
C00164,-1.744331e-06,4.0,-1.744331e-06,-0.11005677,-0.42167416
C00165,1.3086922,76.0,0.017219635,0.43652472,-9.891211
C00166,-5.7719088e-05,3.0,-5.7719088e-05,-0.111833334,-0.13314722
C00167,-2.2937584e-05,4.0,-2.2937584e-05,-0.11072941,-0.42185777
C00168,-0.0004898134,2.0,-0.0004898134,-0.12554736,0.15212075
C00169,0.011307063,5.0,0.011307063,0.24886829,-0.61269975
C00170,0.00016704596,2.0,0.00016704596,-0.10469961,0.1578122
C00173,-6.650676e-06,3.0,-6.650676e-06,-0.11021249,-0.13270475
C00175,3.327588e-06,2.0,3.327588e-06,-0.109895796,0.15639363
C00178,-3.1411443e-07,2.0,-3.1411443e-07,-0.11001138,0.15636209
C00179,1.3669309e-06,2.0,1.3669309e-06,-0.10995802,0.15637664
C00181,0.00013476676,4.0,0.00013476676,-0.10572411,-0.42049134
C00182,-6.505768e-05,2.0,-6.505768e-05,-0.11206625,0.1558011
C00183,-0.0006426015,7.0,-0.0006426015,-0.13039665,-1.2942626
C00184,1.9195866e-06,2.0,1.9195866e-06,-0.109940484,0.15638143
C00185,0.001085828,3.0,0.001085828,-0.07553881,-0.12323885
C00186,0.001159092,9.0,0.001159092,-0.07321352,-1.8566756
C00187,0.19778585,15.0,0.19778585,6.1674333,-1.8870531
C00188,0.0027121205,7.0,0.0027121205,-0.023922656,-1.2651954
C00189,2.6306893e-06,3.0,2.6306893e-06,-0.10991792,-0.13262433
C00190,2.6846787e-06,2.0,2.6846787e-06,-0.1099162,0.15638806
C00191,0.0043150955,5.0,0.0043150955,0.026953433,-0.67328244
C00192,0.0005720335,2.0,0.0005720335,-0.0918459,0.16132125
C00194,1.1632687e-06,2.0,1.1632687e-06,-0.10996449,0.15637487
C00195,0.0006983199,10.0,0.0006983199,-0.087837756,-2.14968
C00197,-0.0008897203,8.0,-0.0008897203,-0.13823985,-1.585416
C00198,-1.3286415e-05,2.0,-1.3286415e-05,-0.1104231,0.15624967
C00199,2.1208696e-05,4.0,2.1208696e-05,-0.10932828,-0.4214753
C00203,0.0004326454,2.0,0.0004326454,-0.096269876,0.1601135
C00204,3.3406927e-06,3.0,3.3406927e-06,-0.109895386,-0.13261817
C00206,-0.0038405324,2.0,-0.0038405324,-0.2318943,0.1230881
C00207,0.00064982363,2.0,0.00064982363,-0.089376956,0.16199528
C00208,-0.00093209225,5.0,-0.00093209225,-0.13958466,-0.7187472
C00209,0.00019432252,3.0,0.00019432252,-0.1038339,-0.13096339
C00212,0.1836879,13.0,0.1836879,5.719985,-1.4311826
C00213,-2.6570913e-07,2.0,-2.6570913e-07,-0.11000984,0.1563625
C00214,-4.4967796e-06,2.0,-4.4967796e-06,-0.11014414,0.15632583
C00216,-6.189227e-05,4.0,-6.189227e-05,-0.111965775,-0.42219532
C00217,-2.2147951e-06,2.0,-2.2147951e-06,-0.110071704,0.1563456
C00219,-0.0010840334,21.0,-0.0010840334,-0.14440705,-5.344254
C00221,0.0061727427,3.0,0.0061727427,0.08591245,-0.07916272
C00222,0.00088564405,5.0,0.00088564405,-0.081892364,-0.70299727
C00223,-3.2486198e-06,3.0,-3.2486198e-06,-0.110104516,-0.13267528
C00224,-6.162193e-05,3.0,-6.162193e-05,-0.1119572,-0.13318105
C00226,-6.406921e-05,2.0,-6.406921e-05,-0.11203487,0.15580967
C00227,-0.00010770981,3.0,-0.00010770981,-0.113419965,-0.13358039
C00229,-0.0003295925,4.0,-0.0003295925,-0.120462194,-0.42451486
C00231,-0.00027676707,5.0,-0.00027676707,-0.1187856,-0.7130691
C00232,0.00087988493,5.0,0.00087988493,-0.08207514,-0.70304716
C00234,6.310356e-06,3.0,6.310356e-06,-0.10980113,-0.13259244
C00235,-5.9298818e-05,3.0,-5.9298818e-05,-0.11188346,-0.13316092
C00236,0.0006541015,3.0,0.0006541015,-0.089241184,-0.12697959
C00238,-0.027752131,46.0,-0.0006033072,-0.1291495,-12.800621
C00239,6.0617313e-05,2.0,6.0617313e-05,-0.10807751,0.15689002
C00242,0.000405217,2.0,0.000405217,-0.09714041,0.15987585
C00243,0.0006421253,4.0,0.0006421253,-0.08962129,-0.41609526
C00244,7.5959346e-05,3.0,7.5959346e-05,-0.10759057,-0.13198897
C00245,-5.7216334e-05,6.0,-5.7216334e-05,-0.111817375,-1.0001786
C00246,-5.0233106e-05,4.0,-5.0233106e-05,-0.11159574,-0.4220943
C00247,-3.22572e-05,2.0,-3.22572e-05,-0.11102521,0.15608531
C00249,7.072198e-05,5.0,7.072198e-05,-0.10775679,-0.7100582
C00250,4.539476e-07,3.0,4.539476e-07,-0.109987,-0.1326432
C00251,7.0238915e-05,3.0,7.0238915e-05,-0.10777213,-0.13203853
C00252,-4.8486327e-05,2.0,-4.8486327e-05,-0.111540295,0.15594469
C00253,0.00025704672,3.0,0.00025704672,-0.101843126,-0.13041991
C00255,2.602092e-05,4.0,2.602092e-05,-0.10917555,-0.4214336
C00256,3.223758e-05,2.0,3.223758e-05,-0.10897824,0.15664412
C00257,-7.936234e-06,2.0,-7.936234e-06,-0.1102533,0.15629603
C00258,-0.00025167363,4.0,-0.00025167363,-0.11798917,-0.42383972
C00259,0.0017418596,5.0,0.0017418596,-0.054717325,-0.69557846
C00262,0.0001520024,2.0,0.0001520024,-0.105177075,0.15768184
C00263,0.00035157267,3.0,0.00035157267,-0.09884301,-0.12960088
C00264,-9.3281835e-07,2.0,-9.3281835e-07,-0.110031016,0.15635672
C00266,-0.000391831,5.0,-0.000391831,-0.12243755,-0.7140661
C00267,0.00042618267,6.0,0.00042618267,-0.09647499,-0.99599016
C00268,0.000480385,2.0,0.000480385,-0.09475469,0.16052714
C00269,0.018862445,3.0,0.018862445,0.4886651,0.03078858
C00270,-5.6369445e-05,2.0,-5.6369445e-05,-0.11179049,0.15587638
C00272,-8.6679e-06,3.0,-8.6679e-06,-0.11027651,-0.13272223
C00275,0.015374301,4.0,0.015374301,0.3779565,-0.28844675
C00279,-0.00010130237,3.0,-0.00010130237,-0.113216594,-0.13352486
C00280,0.29543537,6.0,0.29543537,9.266686,1.5601491
C00282,0.0015716072,3.0,0.0015716072,-0.060120888,-0.11902976
C00283,0.00078282255,3.0,0.00078282255,-0.08515576,-0.12586427
C00286,0.0018055385,2.0,0.0018055385,-0.052696247,0.17200908
C00288,0.03938828,12.0,0.03938828,1.1401253,-2.3924704
C00290,0.0018650364,4.0,0.0018650364,-0.05080787,-0.40549925
C00291,-0.002789354,3.0,-0.002789354,-0.19853143,-0.15681578
C00294,0.00064873236,3.0,0.00064873236,-0.089411594,-0.12702611
C00295,1.8630635e-05,2.0,1.8630635e-05,-0.1094101,0.15652622
C00299,9.309031e-06,3.0,9.309031e-06,-0.109705955,-0.13256647
C00300,-1.0942843e-07,2.0,-1.0942843e-07,-0.11000489,0.15636384
C00301,0.046128806,2.0,0.046128806,1.3540597,0.55605286
C00305,0.0023713822,5.0,0.0023713822,-0.034737196,-0.6901239
C00306,0.0008297311,2.0,0.0008297311,-0.08366695,0.16355409
C00307,-0.0031066372,3.0,-0.0031066372,-0.20860153,-0.15956491
C00309,-2.971559e-07,2.0,-2.971559e-07,-0.11001084,0.15636222
C00310,1.012568e-05,2.0,1.012568e-05,-0.10968004,0.15645254
C00311,0.049780212,5.0,0.049780212,1.4699501,-0.2793449
C00312,0.00016885567,2.0,0.00016885567,-0.104642175,0.15782788
C00313,1.8681721e-05,2.0,1.8681721e-05,-0.10940848,0.15652668
C00314,1.9719904e-08,2.0,1.9719904e-08,-0.11000078,0.15636498
C00315,-0.00059954496,6.0,-0.00059954496,-0.1290301,-1.0048777
C00318,0.005368934,4.0,0.005368934,0.06040073,-0.37513933
C00319,0.078043945,5.0,0.078043945,2.3669996,-0.03445069
C00320,3.0743784e-06,3.0,3.0743784e-06,-0.109903835,-0.13262048
C00322,2.2131282e-05,3.0,2.2131282e-05,-0.109299,-0.13245535
C00325,-0.0002548482,3.0,-0.0002548482,-0.11808992,-0.13485529
C00327,4.3672742e-07,2.0,4.3672742e-07,-0.10998755,0.1563686
C00328,2.8175431e-05,3.0,2.8175431e-05,-0.10910716,-0.132403
C00329,0.00056776503,2.0,0.00056776503,-0.09198138,0.16128425
C00330,-0.0036385728,3.0,-0.0036385728,-0.22548442,-0.16417393
C00331,6.6220164e-05,2.0,6.6220164e-05,-0.10789968,0.15693857
C00332,0.00049879716,8.0,0.00049879716,-0.09417031,-1.5733849
C00333,0.0006870101,5.0,0.0006870101,-0.08819671,-0.70471835
C00334,-0.004679163,15.0,-0.004679163,-0.25851122,-3.641333
C00337,2.5506464e-05,2.0,2.5506464e-05,-0.10919187,0.15658581
C00338,0.06816035,14.0,0.06816035,2.0533087,-2.7211952
C00340,1.0793973e-05,2.0,1.0793973e-05,-0.10965882,0.15645832
C00341,-4.834022e-05,3.0,-4.834022e-05,-0.11153566,-0.13306597
C00344,-0.0007627973,2.0,-0.0007627973,-0.1342115,0.14975546
C00345,4.845574e-05,2.0,4.845574e-05,-0.108463496,0.15678465
C00346,0.012490493,5.0,0.012490493,0.28642866,-0.6024458
C00350,0.0004773651,8.0,0.0004773651,-0.09485053,-1.5735706
C00352,6.770781e-07,4.0,6.770781e-07,-0.10997992,-0.42165318
