0,root
C00435,-0.0074233254
C00436,0.0016693951
C00437,-0.0024735671
C00438,-0.002372427
C00439,-0.00082971575
C00440,0.010974638
C00441,-0.0008925749
C00445,-3.8730563e-05
C00446,0.010146757
C00448,-0.012718692
C00449,0.00092642696
C00450,0.007260588
C00455,-0.006809513
C00458,-0.0006657748
C00459,0.0035309736
C00460,0.0008048555
C00461,-0.0057452903
C00463,-0.00078778225
C00464,0.0040744506
C00468,0.019902967
C00469,0.0071236654
C00470,0.0053044665
C00471,0.0036500678
C00472,-0.00094610034
C00473,0.003258712
C00474,0.0034159648
C00475,0.001995188
C00476,-0.0007948957
C00479,-0.0012451621
C00483,0.043107245
C00486,0.0068166615
C00487,-0.0012041138
C00488,0.0107232835
C00489,-0.0067788498
C00491,-0.028721217
C00492,0.007807586
C00497,0.0038892499
C00498,0.009653727
C00499,-0.006683545
C00500,-0.00012918515
C00501,-0.014901515
C00502,-0.013146059
C00503,-0.002622746
C00504,-0.0150227705
C00506,-0.03200665
C00507,0.014921993
C00508,0.010755332
C00510,0.014087252
C00512,-0.004790823
C00513,0.007926699
C00514,-0.022393556
C00515,0.00054394285
C00517,0.0017400093
C00518,0.0064231968
C00519,-0.005493437
C00522,0.0047390317
C00523,-0.0020258948
C00524,0.009251254
C00526,0.0013193765
C00527,-0.00063605653
C00530,-0.0144355595
C00532,0.0018218358
C00533,-0.08345164
C00534,-0.0030897404
C00535,-0.04589739
C00536,0.0071973074
C00541,-0.0008163522
C00544,-0.0040396564
C00545,0.0021064074
C00546,0.0015247704
C00547,-0.06050724
C00550,0.0028343971
C00551,-0.002027901
C00552,-0.00353195
C00555,-0.00010007119
C00558,-0.017243007
C00559,0.0056038206
C00568,-0.0044770315
C00570,-0.007877131
C00573,-0.00869501
C00575,0.04835849
C00577,-0.0019704322
C00580,-0.0002858428
C00581,0.0014166336
C00582,0.015085738
C00583,0.0011955446
C00584,-0.10513333
C00588,-0.0027584208
C00593,-0.004141597
C00596,-0.012723304
C00601,-0.0017248323
C00603,-0.002817606
C00605,0.0046430817
C00606,-0.006626688
C00607,0.0043134796
C00617,-0.0017469239
C00618,-0.004320284
C00620,-0.0015861681
C00621,0.00062057964
C00623,0.008563926
C00624,-0.0048778215
C00627,-0.0030535697
C00628,-0.004440083
C00631,-0.007283617
C00632,-0.0026769354
C00634,-0.008810543
C00636,-8.977033e-05
C00637,0.0068203188
C00638,0.023926688
C00639,0.02056879
C00640,0.004704722
C00641,-0.007170303
C00642,0.020545816
C00643,0.004223725
C00644,-0.00013850699
C00645,0.00215471
C00647,-0.012278623
C00652,0.0014216154
C00655,0.002756418
C00658,0.00055510085
C00663,0.0001996709
C00664,0.00068446907
C00665,0.019922946
