,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
GCAT,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCC1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCC2,-3.5400507e-07,1.0,-3.5400507e-07,-0.025881456,0.077802986,1
GCDH,-0.00033561554,3.0,-0.00033561554,-0.03564181,-0.19911784,1
GCG,0.0014372743,5.0,0.0014372743,0.01597173,-0.45105514,1
GCGR,-8.433051e-05,2.0,-8.433051e-05,-0.028326236,-0.05966604,1
GCH1,1.7195047e-05,1.0,1.7195047e-05,-0.025370557,0.07801096,1
GCHFR,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCK,0.000587271,11.0,0.000587271,-0.008774129,-1.2799714,1
GCKR,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCLC,-0.0007932283,3.0,-0.0007932283,-0.048964135,-0.20454097,1
GCLM,-0.00024888746,3.0,-0.00024888746,-0.033116926,-0.19809003,1
GCM1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCM2,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCNT1,1.4839038e-06,1.0,1.4839038e-06,-0.02582795,0.07782477,1
GCNT2,-1.8546302e-06,1.0,-1.8546302e-06,-0.025925143,0.0777852,1
GCNT3,-1.4599224e-06,1.0,-1.4599224e-06,-0.025913652,0.07778988,1
GCNT4,-6.229317e-07,1.0,-6.229317e-07,-0.025889287,0.0777998,1
GCOM1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCSAM,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCSAML,0.0,0.0,0.0,-0.02587115,0.21428101,1
GCSH,-0.000785363,1.0,-0.000785363,-0.048735157,0.06849991,1
GDA,0.0005038031,1.0,0.0005038031,-0.011204102,0.08377771,1
GDAP1,0.0,0.0,0.0,-0.02587115,0.21428101,1
GDAP1L1,0.0,0.0,0.0,-0.02587115,0.21428101,1
