,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
RNF114,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF114,promoter,0.0,0.0,0.0,0.0,0.0
RNF115,mut_important,0.0,0.0,0.0,0.0,0.0
RNF115,cnv_del,0.0,0.0,0.0,0.0,0.0
RNF115,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF115,promoter,0.0,0.0,0.0,0.0,0.0
ZC3H15,mut_important,0.0,0.0,0.0,0.0,0.0
ZC3H15,cnv_del,0.0,0.0,0.0,0.0,0.0
ZC3H15,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZC3H15,promoter,0.0,0.0,0.0,0.0,0.0
ZC3H14,mut_important,0.0,0.0,0.0,0.0,0.0
ZC3H14,cnv_del,0.0,0.0,0.0,0.0,0.0
ZC3H14,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZC3H14,promoter,0.0,0.0,0.0,0.0,0.0
SPN,mut_important,0.0,0.0,0.0,0.0,0.0
SPN,cnv_del,0.0,0.0,0.0,0.0,0.0
SPN,cnv_amp,0.0,0.0,0.0,0.0,0.0
SPN,promoter,0.0,0.0,0.0,0.0,0.0
HMGCLL1,mut_important,0.0,0.0,0.0,0.0,0.0
HMGCLL1,cnv_del,0.0,0.0,0.0,0.0,0.0
HMGCLL1,cnv_amp,2.5567647e-06,0.00019602852,3.308631e-06,8.5627687e-07,8.599855e-07
HMGCLL1,promoter,0.0,0.0,0.0,0.0,0.0
ZC3H18,mut_important,0.0,0.0,0.0,0.0,0.0
ZC3H18,cnv_del,0.0,0.0,0.0,0.0,0.0
ZC3H18,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZC3H18,promoter,0.0,0.0,0.0,0.0,0.0
GRIN1,mut_important,0.0,0.0,0.0,0.0,0.0
GRIN1,cnv_del,0.0,0.0,0.0,0.0,0.0
GRIN1,cnv_amp,9.903975e-06,0.0038919821,0.0,7.3875754e-06,0.0001606296
GRIN1,promoter,0.000465108,0.03668762,0.03268572,5.9607813e-05,0.00026816252
SP8,mut_important,0.0,0.0,0.0,0.0,0.0
SP8,cnv_del,0.0,0.0,0.0,0.0,0.0
SP8,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP8,promoter,0.0,0.0,0.0,0.0,0.0
DHX9,mut_important,0.0,0.0,0.0,0.0,0.0
