,coef
NSUN5,0.0
NSUN4,0.0
NSUN7,0.0
NSUN6,0.0
TUBG1,0.00013777806
PRAMEF5,0.0
PRAMEF6,0.0
TUBG2,2.6995498e-05
FAM71F1,0.0
PRAMEF1,0.0
FAM71F2,0.0
PTCH2,0.0007509802
PTCH1,-0.0005790103
PRAMEF8,0.0
TIMM44,0.0
PAGR1,0.0
KRTAP5-2,0.0
DGAT2,-0.00041299476
RAD9B,0.0006798903
RAD9A,0.00095440255
NPAS2,-7.1811323e-06
ERGIC2,0.0
ERGIC3,0.0
CDR2L,0.0
ERGIC1,0.0
CLEC14A,0.0
S100PBP,0.0
B3GAT3,-0.00020563981
B3GAT2,-9.20758e-05
B3GAT1,-1.6732367e-05
CPPED1,0.0
UXT,0.0
CALM2,0.014162207
CALM3,-0.008266345
SPG21,8.03935e-06
CALM1,0.024383673
GSDMA,0.0
GSDMB,0.0
GSDMC,0.0
GSDMD,0.0024661976
UPK1A,0.0
UPK1B,0.0
DLGAP2,0.0
DLGAP3,0.0
DLGAP1,-1.557724e-05
DLGAP4,0.0
DLGAP5,0.0
BRDT,0.0
FBXL15,0.0
MBNL2,0.0
MBNL3,0.0
PLK3,0.0021542644
FBXL14,0.0
SEMA7A,-2.1915892e-05
CDX2,5.634222e-07
ZNF720,0.0
OIP5,0.0
CLCN3,9.900824e-06
CLCN2,4.463436e-05
CLCN1,0.0
HRH1,0.00025898288
CLCN7,0.0
CLCN6,0.0
CLCN5,-5.0165563e-05
CLCN4,3.9794148e-05
FAM169A,0.0
BRD8,0.0
BRD9,0.0
BRD4,0.0
BRD7,0.0011472797
BRD1,0.0
BRD2,0.0
BRD3,0.0
DNAJA2,8.7425164e-05
DNAJA3,0.0
DNAJA1,3.0234445e-05
SPAG4,0.0
DNAJA4,0.0
AKT1,-0.017802978
PTPN13,-1.4002095e-05
PTPN12,0.0
PTPN11,-0.00036476325
NKX2-8,0.0
PTPN14,0.0
GALR3,-0.0025307492
GALR2,0.007985098
GALR1,-0.0002259272
UTRN,0.0
LYAR,0.0
CH25H,3.2520264e-05
CSF2RB,-0.0025531196
MRPL24,0.0
MRPL27,0.0
MRPL21,0.0
MRPL20,0.0
MRPL23,0.0
MRPL22,0.0
GAB4,0.0
LRFN4,0.0
GAB2,0.0004366744
MRPL28,0.0
GAB1,-0.0025683923
C2orf81,0.0
NKX2-2,0.0
DMRTB1,0.0
ZNF853,-0.000419476
NPTX2,0.0
NPTX1,0.0
ZNF850,0.00046090983
C2orf88,0.0
NDRG2,0.0
NDRG3,0.0
ZSCAN1,0.0
ZSCAN2,0.0
SRSF5,0.00033111585
SRSF4,-0.00012678062
SRSF7,5.683205e-05
SRSF6,-0.000109234184
SRSF1,-0.00023910613
CHD1L,0.0
SRSF3,-0.0012392431
MSMP,0.0
MZB1,0.0
SRSF9,-0.0007571604
CDK2,0.0008119058
RNF130,0.0
RAPH1,0.0
DNAJB11,-1.3319003e-06
RNF133,0.0
HLA-DQB1,-0.0005907496
RNF135,0.0
HLA-DQB2,0.0
RNF138,0.0
RNF139,0.0
ENOSF1,-0.0003622908
CDK5,-0.0010265014
GID4,0.0
GPR137,0.0
CISD1,0.0
CLNS1A,0.0
SUPT20H,-1.2081514e-06
TRMT11,0.0
TSHZ2,0.0
TSHZ3,0.0
TSHZ1,0.0
GID8,0.0
NOSIP,0.0
FOXS1,0.0
VILL,0.0
ZNF581,0.0
LPAR2,0.00017314291
ZNF583,7.804021e-06
ZNF582,-0.00019890752
TIPARP,0.0
ZNF584,-3.3977963e-06
ZNF587,-0.00015348662
ZNF586,0.00057814707
ZNF589,-5.4699303e-05
MCHR2,-0.00020654168
TMEM115,0.0
COL4A6,0.0010698331
HAPLN1,0.0
LSM12,0.0
PSD,-2.2011263e-05
CAMKK2,3.8731483e-05
CAMKK1,0.0007655347
MYDGF,0.0
NPTXR,0.0
OR8U1,-4.2179004e-06
HAPLN2,0.0
MTRF1L,0.0
MYO1H,1.805818e-05
MYO1G,6.7101887e-06
MYO1F,1.2823251e-05
MYO1E,2.1505444e-05
MYO1D,3.0985913e-05
MYO1C,-1.2149272e-05
MYO1B,-2.750347e-06
MYO1A,-8.61578e-06
GRN,0.0
LCN6,0.0
CHMP3,0.00013999874
RPL36AL,2.1201216e-05
RAET1G,0.00013026594
CENPM,0.0
CHMP7,0.0019470053
CHMP6,0.0022638075
CHMP5,4.8607464e-05
DENND6A,0.0
OR52N4,-2.651856e-06
OR52N5,5.6545716e-08
OR52N2,7.4836953e-07
CTPS2,-6.8761024e-06
CTPS1,0.0034328399
OR52N1,-1.01882e-07
SULT6B1,0.0
LY6G6C,0.0
HOXA13,0.0
SIAE,0.0
HOXA11,0.0
HOXA10,0.0
PPIAL4A,0.0
KRTAP19-3,0.0
KRTAP19-1,0.0
PPIAL4E,0.0
KRTAP19-7,0.0
KRTAP19-4,0.0
KRTAP19-5,0.0
FAM160B1,0.0
FAM160B2,0.0
HIST2H2AA4,0.0
NUBP2,0.0
TTYH1,0.0
GALNTL5,0.00014036738
SRC,0.0013804506
NEMF,0.0
GALNTL6,0.00042531587
SRF,-3.2917524e-05
ZNF320,-8.253205e-05
SYNE4,0.0
ZNF322,0.0
FAM214A,0.0
FAM214B,0.0
SRI,0.0
ZNF329,0.0
SRL,0.0
SRM,-0.0014997061
SRR,0.0001568637
LGALS9,0.0
LGALS8,0.0
FAM220A,0.0
LGALS3,0.0
LGALS2,0.0
LGALS1,0.0
SPECC1,0.0
LGALS7,0.0
CFAP36,0.0
LGALS4,0.0
NMU,2.0376145e-05
NMS,-0.0102810925
AKIRIN1,0.0
EIF2AK1,-0.0034185995
EIF2AK3,3.708207e-05
KRTAP11-1,0.0
TDG,0.0
EIF2AK4,-0.005392863
WIPF1,-9.159163e-06
LIMS1,0.0
NMB,-4.3413125e-05
EREG,0.00017759066
MYO19,0.0
AVPI1,0.0
MYO16,0.0
TRNT1,0.0
ASAP1,0.011007042
ASAP2,0.00064972026
MYO10,0.0003560911
OCRL,0.000561074
PLAUR,-0.0002108918
ENTPD5,0.0011514631
HILPDA,0.0
LOXHD1,0.0
LRRC26,0.0
LRRC25,0.0
LRRC24,0.0
LRRC23,0.0
MPDU1,0.0
LRRC20,0.0
LOX,0.0
LPGAT1,-0.00045788623
LRRC29,0.0
LRRC28,0.0
TIMM17B,0.0
GCNT4,-2.1304455e-05
TIMM17A,0.0
GCNT1,-0.00012299996
GCNT3,0.0003866601
GCNT2,-9.1061236e-05
OR14I1,-1.0073134e-05
AACS,0.00017623338
CHP2,0.0
C14orf132,0.0
LPCAT4,0.0004924206
LPCAT2,8.0855236e-05
LPCAT3,0.00020105348
LPCAT1,0.001256716
ALOX5,-0.001061533
MID1IP1,0.0
PIGA,-1.356357e-06
PIGB,-5.9118855e-07
PIGC,-3.781902e-05
PIGF,-3.612597e-06
CALCRL,-0.00012423268
PIGH,1.0687804e-06
TBC1D3,0.0
PIGK,-6.43466e-06
PIGL,-1.641464e-06
PIGM,-1.2861931e-06
PIGN,1.903435e-06
PIGO,1.2150036e-07
PIGP,-6.022496e-07
PIGQ,4.3377436e-06
PIGR,-3.2912612e-06
PIGS,-2.2014592e-06
ILKAP,0.0
PIGU,-2.927059e-06
WRAP53,0.0
PIGW,3.7910181e-06
PIGX,-6.5208706e-06
PIGY,-7.654668e-07
PIGZ,-4.4209196e-06
ENTPD8,-0.0029721146
TMEM80,0.0
TAGLN,0.0
TAX1BP1,0.0
CCDC179,0.0
OSGEP,0.0
ALPP,7.9234946e-05
RHPN1,0.0
CHST11,-4.8206908e-05
OLR1,-1.9551771e-05
RHPN2,0.0
CCDC170,0.0
CCDC171,0.0
CCDC172,0.0
CCDC173,0.0
CCDC174,0.0
CCDC175,0.0
CCDC177,0.0
PDK1,6.765435e-05
SUN2,0.0
PDK3,-8.511819e-05
PDK2,1.641641e-05
EBP,0.010383717
PDK4,-7.4305826e-05
CYCS,0.0026224693
SUN3,0.0
LNPEP,0.00083261286
MYO5C,6.996446e-07
ALPI,3.731661e-05
ZNF292,0.0
SEC61A1,-0.00033324893
SEC61A2,-4.5916017e-06
ALPL,1.6127788e-05
PTGS2,0.00068754726
PTGS1,-0.0031861924
TM2D3,0.0
PPP2R3B,-0.00022354566
MGST3,-1.5078778e-05
ZFAND6,0.0
ZFAND5,0.0
ZFAND4,0.0
ZFAND3,0.0
ZFAND1,0.0
OR11G2,-3.2704897e-06
SUN5,0.0
NDUFB10,-0.0012608166
SLC39A12,0.0028343115
CEP128,0.0
SLC39A10,0.00090875133
SLC39A11,0.00091615226
DEFB1,1.6669706e-05
SLC39A14,0.0016679165
DNAJC17,0.0
CEP120,0.0
EIF1AX,0.0
DNAJC14,0.0
NTRK2,0.0040884274
NTRK3,-2.123948e-06
EIF1AD,0.0
SMAD4,-0.0017151968
ARHGAP21,0.0
ARHGAP20,0.0
ARHGAP27,0.0
ARHGAP26,0.0
SAP18,0.0
EVI5,0.0
ARHGAP29,0.0
ARHGAP28,0.0
OR9Q2,-2.4614772e-07
TBX4,0.0
DDIT3,-0.00014371009
MICALCL,0.0
MTX1,0.0
EPHB3,-1.7995151e-05
RBFA,0.0
COL19A1,2.9655761e-05
NKRF,0.0
OR9Q1,-3.2914734e-06
SMAD2,0.0039332863
MYSM1,0.0
ATG2A,2.0454843e-05
SMAD3,0.0011113138
MLYCD,0.0015828604
BMP6,0.0010049347
