,,coef
RARRES1,promoter,0.0
UFSP1,mut_important,0.0
UFSP1,cnv_del,0.0
UFSP1,cnv_amp,0.0
UFSP1,promoter,0.0
PHLDA3,mut_important,0.0
PHLDA3,cnv_del,0.0
PHLDA3,cnv_amp,0.0
PHLDA3,promoter,0.0
UFSP2,mut_important,0.0
UFSP2,cnv_del,0.0
UFSP2,cnv_amp,0.0
UFSP2,promoter,0.0
GAP43,mut_important,0.0
GAP43,cnv_del,0.0
GAP43,cnv_amp,0.0
GAP43,promoter,0.0
NABP1,mut_important,0.0
NABP1,cnv_del,0.0
NABP1,cnv_amp,0.0
NABP1,promoter,0.0
PAMR1,mut_important,0.0
PAMR1,cnv_del,0.0
PAMR1,cnv_amp,0.0
PAMR1,promoter,0.0
MDK,mut_important,0.0
MDK,cnv_del,0.0
MDK,cnv_amp,0.0
MDK,promoter,0.0
FBXL13,mut_important,0.0
FBXL13,cnv_del,0.0
FBXL13,cnv_amp,0.0
FBXL13,promoter,0.0
FBXL12,mut_important,0.0
FBXL12,cnv_del,0.0
FBXL12,cnv_amp,0.0
FBXL12,promoter,0.0
HRH2,mut_important,0.0
HRH2,cnv_del,0.0
HRH2,cnv_amp,0.00011629118
HRH2,promoter,0.040246688
CYP27B1,mut_important,0.0
CYP27B1,cnv_del,0.0
CYP27B1,cnv_amp,0.00012215062
CYP27B1,promoter,0.0
FBXL17,mut_important,0.0
FBXL17,cnv_del,0.0
FBXL17,cnv_amp,0.0
FBXL17,promoter,0.0
FBXL16,mut_important,0.0
FBXL16,cnv_del,0.0
FBXL16,cnv_amp,0.0
FBXL16,promoter,0.0
FBXL19,mut_important,0.0
FBXL19,cnv_del,0.0
FBXL19,cnv_amp,0.0
FBXL19,promoter,0.0
FAM169B,mut_important,0.0
FAM169B,cnv_del,0.0
FAM169B,cnv_amp,0.0
FAM169B,promoter,0.0
GHDC,mut_important,0.0
GHDC,cnv_del,0.0
GHDC,cnv_amp,0.0
GHDC,promoter,0.0
SDK1,mut_important,0.0
SDK1,cnv_del,0.0
SDK1,cnv_amp,0.0
SDK1,promoter,0.0
SDK2,mut_important,0.0
SDK2,cnv_del,0.0
SDK2,cnv_amp,0.0
SDK2,promoter,0.0
GRP,mut_important,0.0
GRP,cnv_del,0.0
GRP,cnv_amp,0.0
GRP,promoter,-6.609643e-05
TPRN,mut_important,0.0
TPRN,cnv_del,0.0
TPRN,cnv_amp,0.0
TPRN,promoter,0.0
THSD4,mut_important,0.0
THSD4,cnv_del,0.0
THSD4,cnv_amp,0.0
THSD4,promoter,0.0
HPCAL4,mut_important,0.0
HPCAL4,cnv_del,0.0
HPCAL4,cnv_amp,0.0
HPCAL4,promoter,0.0
THSD1,mut_important,0.0
